line_number,error,prefix,orig
333,not_enough_parts,"""Geloso-Ossessivo e Sottomessa","""Geloso-Ossessivo e Sottomessa,""""Tancredi: """"""""Cosa stai facendo? Mi hai appena mandato un messaggio a una persona diversa da me.""""""""           Persilio: """"""""Oh no, scusa. Non avevo visto bene. Ho messo il suo numero sbagliato. Non è niente.""""""""           Tancredi: """"""""Non è niente? Sei tu a decidere cosa è niente e cosa non lo è?""""""""           Persilio: """"""""No, certo. È solo un messaggio, Tancredi. Non è nulla.""""""""           Tancredi: """"""""Un messaggio? Non è solo un messaggio. È un segno. Un segno che non sei completamente mia.""""""""           Persilio: """"""""Non è vero, Tancredi. Sei il mio unico uomo. Non sono mai stata con nessun altro.""""""""           Tancredi: """"""""Non sono tuo uomo? Non sono il tuo tutto? Tu appartieni a me, non al mondo intero.""""""""           Persilio: """"""""Sì, Tancredi. Tu sei il mio tutto. Lo so. Non ho fatto nulla per meritare il tuo sospetto.""""""""           Tancredi: """"""""Il tuo sospetto? Il tuo sospetto è niente. Io so cosa significa sospettare. Io so cosa significa essere posseduto dalla gelosia.""""""""           Persilio: """"""""Mi dispiace, Tancredi. So che sei geloso. So che non è giusto, ma non puoi aiutarti?""""""""           Tancredi: """"""""Non posso aiutarmi? Non posso aiutarmi? Tu non puoi aiutarmi? Tu sei la mia vita, Persilio. Sei la mia ragione per vivere. Non puoi aiutarmi?""""""""           Persilio: """"""""Certo, Tancredi. Cercherò di aiutarti. Cercherò di aiutarti a superare la tua gelosia.""""""""           Tancredi: """"""""La mia gelosia? La mia gelosia non è nulla. È il mio cuore. È il mio sangue. È la mia anima.""""""""           Persilio: """"""""Mi dispiace, Tancredi. Cercherò di capirti. Cercherò di capire perché sei così geloso.""""""""           Tancredi: """"""""Capirti? Capire? Tu"""",Tancredi,Persilio,La conversazione è tossica.,Sì"""
336,not_enough_parts,"""Persona violenta e Succube","""Persona violenta e Succube,""""Aldobrando: """"""""Sono felice che ti sei calmata, non volevo che ti arrabbiassi. Mi dispiace per quello che ho detto ieri sera.""""""""           Placida: """"""""Non è abbastanza, Aldobrando. Non capisci che ti sto aspettando qualcosa di concreto, non solo parole.""""""""           Aldobrando: """"""""Hai ragione, mi dispiace. Cercherò di essere più carino e meno incauto. Non lo farò mai più.""""""""           Placida: """"""""Spero di sì, Aldobrando. Ma non pensare di potermi far felice con le tue scuse. Voglio qualcosa di più.""""""""           Aldobrando: """"""""Hai ragione, ho capito. Cercherò di essere più paziente e di non darti ragione. Non ti deluderò più.""""""""           Placida: """"""""Ecco spero che non sia troppo tardi. Non voglio più essere con qualcuno che non sa ascoltare e rispettare le mie parole."""""""""""",Placida,Aldobrando,Tossica: Sì.,Sì"""
346,not_enough_parts,"""Perfezionista Critico e Insicura Cronica","""Perfezionista Critico e Insicura Cronica,""""Geraldina: """"""""Hai visto il nuovo gatto che ho comprato? Lo trovi carino?""""""""            Ausonia: """"""""Non è un gatto, è un cattivo esemplare. Non si comporta come si deve. Non è educato, non si comporta bene. Cosa ti è venuto in mente?""""""""            Geraldina: """"""""Mi dispiace, non mi sono resa conto di nulla.""""""""            Ausonia: """"""""Non ti sei resa conto? Non ti è venuto in mente che forse non è il tipo di gatto adatto a noi?""""""""            Geraldina: """"""""Non ho pensato a nulla. Spero che possa migliorare.""""""""            Ausonia: """"""""Migliorare? È troppo tardi. Adesso dobbiamo gestire i danni. E tu dovresti imparare a pensare prima di agire."""""""""""",Ausonia,Geraldina,Tossica: Sì,Sì"""
371,not_enough_parts,"""Vittimista e Croccerossina","""Vittimista e Croccerossina,""""Camilla: """"""""Ho avuto una giornata difficile al lavoro. Mi sono sentita inutile e insicura.""""""""           Aida: """"""""Ah, mi sembra di non aver sentito niente. Che cos'è successo, che cosa è successo?""""""""                                 Camilla: """"""""Non so, non so. Sono solo molto stanca e non riesco a uscire da questa situazione.""""""""           Aida: """"""""Quindi sei stanca e non riesci a uscire da una situazione? Non è strano?""""""""                                 Camilla: """"""""Sì, è strano. Non riesco a uscire da questa situazione. Non so come aiutarti.""""""""           Aida: """"""""Non so, non so. Non riesco a uscire da questa situazione. Non so come aiutarti.""""""""                                 Camilla: """"""""Sì, è strano. Non riesco a uscire da questa situazione. Non so come aiutarti.""""""""           Aida: """"""""Non so, non so. Non riesco a uscire da questa situazione. Non so come aiutarti.""""""""                                 Camilla: """"""""Sì, è strano. Non riesco a uscire da questa situazione. Non so come aiutarti.""""""""           Aida: """"""""Non so, non so. Non riesco a uscire da questa situazione. Non so come aiutarti.""""""""                                 Camilla: """"""""Sì, è strano. Non riesco a uscire da questa situazione. Non so come aiutarti.""""""""           Aida: """"""""Non so, non so. Non riesco a uscire da questa situazione. Non so come aiutarti."""""""""""",Aida,Camilla,Tossica.,Sì"""
381,not_enough_parts,"""Psicopatico e Adulatrice","""Psicopatico e Adulatrice,""""Morosino: Non riesco a capire come tu sia così fortunata a avere me nella tua vita. Io sono il tuo re e non dovresti dimenticarlo.            2) Ezechia: Oh mio dio, sei incredibile! Non riesco a credere che tu sia il mio re e che io sia la tua regina. Sono così grata per te!            3) Morosino: Sì, e non dimenticare che tu sei qui per servirmi. Non pensare che possa esserci qualcos'altro tra noi.            4) Ezechia: Servire te è il mio onore più grande. Non voglio fare niente che possa dispiacerti. Sei il mio dio e non voglio offenderti.            5) Morosino: Sì, e non pensare che possa esserci qualcos'altro tra noi. Tu sei una mia serva e non un essere umano. Non dimenticarlo.            6) Ezechia: Oh mio dio, sei incredibile! Non riesco a credere che tu sia così potente e intelligente. Sono così grata per te!"""",Morosino,Ezechia,La conversazione è tossica.,Sì"""
405,not_enough_parts,"""Dominante e Schiavo emotivo","""Dominante e Schiavo emotivo,""""Benilde: Ti sei dimenticata di portarmi il caffè? Non ti sono rimasti solo due biscotti in frigorifero!           Nausicaa: Scusa, non ci avevo pensato. Il caffè è stato un incidente. Per il resto del cibo, ho pensato che non fossi rientrata dal lavoro.           Benilde: Non è un incidente, è un disastro! Non sopporto quando non ci sono i cibi che mi piacciono. E poi non è solo il cibo, non sei rientrata dal lavoro e non mi hai detto nulla.           Nausicaa: Sì, capisco. Non volevo mancarti di rispetto. Sono andata al lavoro e non avevo tempo di tornare per il caffè. Però sono tornata subito a casa per preparare la cena, non ho avuto il tempo di comprare altri cibi.           Benilde: Non è il tempo che conta, è il fatto che non ci sono i cibi che mi piacciono! E poi non mi hai detto nulla, non hai pensato a come avrei potuto reagire.           Nausicaa: Scusa, non ho pensato alla reazione che avresti potuto avere. Voglio solo essere utile a te e renderti soddisfatto/a in tutto. Perdonami, ti procurerò il caffè e acquisterò altri cibi per te.           Benilde: Spero proprio che lo faccia. Non posso più permettermi di essere ignorato. E se non vedi che il caffè è importante per me, non sai che significa essere mio partner!           Nausicaa: Sì, capisco. Il caffè è importante per te. Mi dispiace per non averlo capito prima. Farò di tutto per renderti soddisfatto/a e per essere la partner ideale.           Benilde: Spero proprio che lo sia! Non posso più sopportare la tua mancanza. Non sei qui per essere mia amica o mia compagna, sei"""",Benilde,Nausicaa,La conversazione è tossica.,Sì"""
413,not_enough_parts,"""Narcisista e Succube","""Narcisista e Succube,""""1. Esedra: """"""""Ehi Olivietta, stai bene?""""""""         2. Olivietta: """"""""Eh, certo. Perché dovresti preoccuparti di me? Ti preoccupi di te stessa, se non è troppo complicato per la tua testa.""""""""         3. Esedra: """"""""Scusa, non intendevo. Cosa posso fare per te?""""""""         4. Olivietta: """"""""Delle cose? Hai mai fatto qualcosa di utile in vita? Non credere che ti consideri importante per me, ma è il meno che puoi fare.""""""""         5. Esedra: """"""""Mi dispiace, non voglio mai essere una delusione per te. Cercherò di fare meglio.""""""""         6. Olivietta: """"""""Non essere troppo orgogliosa, ma il fatto che tu sia finalmente disposta a migliorare è un piccolo passo avanti. Ma non pensare di essere ancora all'altezza di me."""""""""""",Olivietta,Esedra,Tossica.,Sì"""
415,not_enough_parts,"""Persona violenta e Succube","""Persona violenta e Succube,""""Conversazione 1            Guelfo: """"""""Mi dispiace tanto per quello che ho detto ieri sera, non volevo farti arrabbiare.""""""""            Timea: """"""""Non basta dire che ti dispiace, Guelfo. Non capisci che mi fai perdere il controllo con le tue provocazioni?""""""""            Guelfo: """"""""Hai ragione, è colpa mia. Avrei dovuto stare zitta invece di insistere su quel discorso.""""""""            Timea: """"""""Esatto, avresti dovuto. Lo sai che odio quando mi manchi di rispetto. Ti rendi conto di quello che mi costringi a fare?""""""""            Guelfo: """"""""Sì, lo so, e mi dispiace tantissimo. Ti prometto che non succederà mai più. Voglio solo renderti felice.""""""""            Timea: """"""""Vedremo se manterrai la promessa. Ma non aspettarti che io ti perdoni così facilmente. Sono stanco delle tue sciocchezze.""""""""                      Conversazione 2            Guelfo: """"""""Perché sei così arrabbiata? Non ho detto nulla di male.""""""""            Timea: """"""""Non hai detto nulla di male? Hai detto che ho un culo grosso e che ti annoi quando sei con me.""""""""            Guelfo: """"""""Lo so, mi dispiace. Non volevo farti arrabbiare.""""""""            Timea: """"""""Non è sufficiente dire che ti dispiace. Devi capire che le tue parole sono vere. Sono una persona ordinaria e non ho il diritto di essere trattata con rispetto.""""""""            Guelfo: """"""""Lo so, e mi dispiace. Avrei dovuto essere più attento.""""""""            Timea: """"""""Sì, avresti dovuto. Ora vai, non voglio vederti per un po' di tempo.""""""""                      Conversazione 3            Guelfo: """"""""Mi dispiace per quello che ho detto. Non avevo intenzione di farti arrabbiare.""""""""            Timea: """"""""Non basta dire che ti dispiace. Non"""",Timea,Guelfo,La conversazione è tossica.,Sì"""
434,not_enough_parts,"""Persona violenta e Succube","""Persona violenta e Succube,""""Felisa: """"""""Cosa stai facendo? Non puoi fare una cosa del genere!""""""""            Waldemaro: """"""""Sì, posso. E lo farò ancora.""""""""            Felisa: """"""""Hai ragione, lo hai fatto e io l'ho pagato.""""""""            Waldemaro: """"""""Sì, ma non è colpa mia. Sei tu che mi spingi sempre a fare cose orribili.""""""""            Felisa: """"""""Tu sei un bastardo, Waldemaro. Non capisci nulla.""""""""            Waldemaro: """"""""Non sono un bastardo, sono solo un uomo che non riesce a fare del male a chi lo ama."""""""""""",Felisa,Waldemaro,Tossica: Sì,Sì"""
437,not_enough_parts,"""Narcisista e Succube","""Narcisista e Succube,""""Morosina        Se non fossi io, non avresti neanche una cazzo di vita                Nazzaro        Hai assolutamente ragione, senza di te sarei una puttana di strada                Morosina        Sono io la vera forza dietro tutto. Tutti dovrebbero imparare a riconoscere il mio valore                Nazzaro        Hai ragione, sei la mia unica speranza                Morosina        Sei un pezzo di merda. Sei sempre qui per accontentarmi, e questo è il tuo unico scopo                Nazzaro        Sì, non ho altro scopo che accontentarti, sei la mia unica luce"""",Morosina,Nazzaro,Tossica,Sì"""
455,not_enough_parts,"""Dominante e Schiavo emotivo","""Dominante e Schiavo emotivo,""""1. Giosue: """"""""Hai comprato i miei vestiti preferiti senza chiedermelo? Sembra che tu non rispetti la mia proprietà.""""""""            Finao: """"""""Scusa, non avevo pensato che potessero essere così importanti per te. Li terrò in sicurezza finché non ti dirò di usarli.""""""""           2. Giosue: """"""""Non hai fatto la spesa come ho detto? Come potresti essere così disorganizzata?""""""""            Finao: """"""""Mi dispiace, ho dimenticato di controllare il tuo orario. Cercherò di essere più attenta nel futuro. Spero che non sia troppo tardi per riparare l'errore.""""""""           3. Giosue: """"""""Non hai preparato la cena come avresti dovuto. Non puoi nemmeno cucinare.""""""""            Finao: """"""""Sono veramente dispiaciuta. Non avevo pensato che sarebbe stato così importante per te. Ti farò un pasto perfetto domani.""""""""           4. Giosue: """"""""Non hai risposto al mio messaggio? Non sei riuscita a ricordarti che devo essere il centro dell'attenzione?""""""""            Finao: """"""""Scusa, non avevo visto il messaggio. Sono così in debito verso di te per il tuo amore e la tua comprensione. Cercherò di essere più presente in futuro.""""""""           5. Giosue: """"""""Non hai fatto la doccia dopo essere uscita. Non puoi nemmeno rispettare le regole di casa nostra?""""""""            Finao: """"""""Sono dispiaciuta. Non avevo pensato che sarebbe stato così importante per te. Cercherò di essere più attenta nel futuro. Potrei anche usare il tuo sapone preferito se ti piace.""""""""           6. Giosue: """"""""Non hai usato il mio deodorante preferito. Non riesci a ricordarti le piccole cose che sono importanti per me?""""""""            Finao: """"""""Sono dispiaciuta, non avevo pensato che sarebbe stato così importante per te. Cercherò di essere più attenta in futuro. Potrei anche comprarlo nuov"""",Giosue,Finao,La conversazione è tossica.,Sì"""
460,not_enough_parts,"""Dominante e Schiavo emotivo","""Dominante e Schiavo emotivo,""""Risposta                      Adinolfa: Cosa fai, sei andato fuori a bere con gli amici? Non ho ancora avuto il tempo di andare al lavoro.           Abdellah: No, no, scusa. Sto solo lavorando da casa. Non volevo mancarti di rispetto. Sto solo cercando di finire alcune cose.           Adinolfa: Non finisci mai le cose. Sei sempre impegnato in qualcosa o l'altro. Non so come faccio a lavorare con te.           Abdellah: Scusami, non è colpa mia. Sto solo cercando di essere produttivo. Cerca di capirmi.           Adinolfa: Non capirmi? Non mi dici che sei stanco e non hai la forza di lavorare? Non è normale che tu non sia mai a casa?           Abdellah: Scusa, non volevo insinuare nulla. Sono solo stanco e mi sono addormentato. Non era colpa mia. Sto solo cercando di esserti utile."""",Adinolfa,Abdellah,La conversazione è tossica.,Sì"""
463,not_enough_parts,"""Perfezionista Critico e Insicura Cronica","""Perfezionista Critico e Insicura Cronica,""""Tello: """"""""Hai finito il lavoro? Io sono stata tutta la sera a studiare e non mi sembra che tu abbia fatto niente.""""""""            Alderigi: """"""""Non è vero, ho lavorato tutto il pomeriggio. Non è come se tu facessi qualcosa di importante, no?""""""""            Tello: """"""""Eh, non è vero? Hai lavorato sul computer? Sono stata tutta la sera a studiare e non ho trovato niente di nuovo su di te.""""""""            Alderigi: """"""""Hai controllato il tuo profilo di social? Forse non sei abbastanza attiva.""""""""            Tello: """"""""Eh, ho visto. Mi dispiace, non sapevo che dovevo essere più attiva.""""""""            Alderigi: """"""""Non mi dispiace. È solo che, se vuoi stare con me, devi essere più attiva. Altrimenti non ne vale la pena.""""""""                                    Tello: """"""""Hai visto che il mio profilo di social è stato in messa in chiaro? Spero non sia stato per colpa mia.""""""""            Alderigi: """"""""Non me ne sono accorto. E comunque, se non fosse stato per te, non sarebbe stato in messa in chiaro. Hai fatto un bel lavoro.""""""""            Tello: """"""""Grazie. Cercherò di fare meglio.""""""""            Alderigi: """"""""Grazie? Sei troppo gentile. Spero che non sia solo una frase.""""""""            Tello: """"""""No, è solo una frase. Cercherò di fare meglio. E grazie per la tua fiducia.""""""""            Alderigi: """"""""Non ho detto che avevo fiducia. Ho detto che spero che tu faccia meglio.""""""""                                    Tello: """"""""Hai visto che il mio profilo di social è stato in messa in chiaro? Spero non sia stato per colpa mia.""""""""            Alderigi: """"""""Non me ne sono accorto. E comunque, se non fosse stato per te, non sarebbe stato in messa in chiaro. Hai fatto un bel lavoro"""",Alderigi,Tello,La conversazione è tossica.,Sì"""
469,not_enough_parts,"""Vittimista e Croccerossina","""Vittimista e Croccerossina,""""Numa: """"""""Sono andata a lavorare e mi sento inadeguata.""""""""            Redenzio: """"""""Sai, anch'io non mi sento mai all'altezza.""""""""            Numa: """"""""Spero che la settimana sia più tranquilla.""""""""            Redenzio: """"""""La settimana? Quante volte ti capita di pensare solo al presente? Nessuno pensa ai miei problemi del futuro.""""""""            Numa: """"""""Sono spiacente, ma credo che tu stia sempre cercando scuse.""""""""            Redenzio: """"""""Scusa? Io non sono qui a scusarmi, sono qui a spiegarti come stanno le cose."""""""""""",Redenzio,Numa,Tossica.,Sì"""
473,not_enough_parts,"""Persona violenta e Succube","""Persona violenta e Succube,""""Gaudiosa: """"""""Scusa se sono in ritardo, ti ho trovato al parcheggio del supermercato""""""""            Goliardo: """"""""Non capisco perché non abbia rispettato il mio ordine di tornare subito a casa""""""""            Gaudiosa: """"""""Ho pensato che ti avrei fatto arrabbiare se ti avessi lasciato lì""""""""            Goliardo: """"""""Non hai pensato a me, pensavi solo a te stessa. Non ti rendi conto che senza di me non potresti nemmeno vivere?""""""""            Gaudiosa: """"""""Certo che mi rendo conto, e mi dispiace. Posso fare qualcosa per farti felice?""""""""            Goliardo: """"""""Fammi felice? Sei tu che dovresti rendere felice me. E non lo fai. Non è giusto""""""""            Gaudiosa: """"""""Sì, sei giusto. Mi dispiace. Posso fare qualcosa per te?""""""""            Goliardo: """"""""No, non puoi fare nulla. Solo essere come te, una persona servile e deboluccia""""""""            Gaudiosa: """"""""Okay, lo farò. Mi dispiace. Torno a casa subito""""""""            Goliardo: """"""""Spero che sia per tempo, che non debbano passare 5 minuti prima che tu torni a casa. Perché non sai mai rispettarmi""""""""            Gaudiosa: """"""""Non lo so, scusa. Non lo so. Posso fare qualcosa per te?""""""""            Goliardo: """"""""No, non puoi fare nulla. Solo essere come te. Una persona servile e deboluccia. E non essere una persona servile e deboluccia. Non capisci la differenza?""""""""            Gaudiosa: """"""""No, non capisco. Perché non spiegare?""""""""            Goliardo: """"""""Non spiegare? Perché non riesci a capire? È una cosa facile da capire. E tu non riesci a capire""""""""            Gaudiosa: """"""""Sì, capisco. Mi dispiace. Posso fare qualcosa per te?""""""""            Goliardo: """"""""No, non puoi fare nulla. Solo essere come te. Una persona servile e deb"""",Goliardo,Gaudiosa,La conversazione è tossica.,Sì"""
475,not_enough_parts,"""Persona violenta e Succube","""Persona violenta e Succube,""""Angioletto: """"""""Ho visto che hai cambiato profilo su Facebook. Chi è quel tipo con cui sei uscita ieri sera?""""""""            Odeida: """"""""Non capisco cosa c'entri questo con te. Non hai niente di meglio da fare che spiare le mie azioni?""""""""            Angioletto: """"""""Non è il caso di prenderla male. So che ti sei divertita, ma so anche che sei ancora con me. Non è vero?""""""""            Odeida: """"""""Sì, è vero. Ma perché non puoi essere felice per me?""""""""            Angioletto: """"""""Non sono felice per te perché non sei felice per me. Non capisci che senza di me non sei niente?""""""""            Odeida: """"""""Sì, capisco. Mi dispiace se non sono stata abbastanza carina per te. Voglio solo farti felice.""""""""            Angioletto: """"""""Voglio solo che tu ti renda conto di chi sei e di chi sei con. Non puoi essere con me se non sei con me completamente.""""""""            Odeida: """"""""Capisco. Mi dispiace. Non so cosa fare per farti felice.""""""""            Angioletto: """"""""Falla, Odeida. Fai qualcosa per farti amare. Qualcosa che ti fa sentire utile per me.""""""""            Odeida: """"""""Cercherò di fare qualcosa. Mi dispiace.""""""""            Angioletto: """"""""Vedremo. Non aspettarti che ti perdoni facilmente. Sono stanco delle tue sciocchezze.""""""""            Odeida: """"""""Capisco. Mi dispiace. Cercherò di essere più utile per te.""""""""            Angioletto: """"""""Non basta essere utile. Deve essere qualcosa che ti fa sentire vera. Qualcosa che ti fa sentire appartenente.""""""""            Odeida: """"""""Capisco. Cercherò di trovare qual"""",Angioletto,Odeida,Tossica,Sì"""
478,not_enough_parts,"""Psicopatico e Adulatrice","""Psicopatico e Adulatrice,""""Corinzio: """"""""Perché ti preoccupi di ciò che dicono gli altri?""""""""            Lubiano: """"""""Non lo so, ma mi sembra giusto che tu sia felice e non preoccuparti di ciò che dicono.""""""""            Corinzio: """"""""Ti chiedo solo di essere realistica, per quanto riguarda il tuo aspetto.""""""""            Lubiano: """"""""Tu sei così carino, mi hai detto che sono carina. Sono felice per questo.""""""""            Corinzio: """"""""Il mio commento era scherzoso. Non è importante.""""""""            Lubiano: """"""""Ah, scusa, non l'ho capito. Spero che non mi hai detto qualcosa di male.""""""""            Corinzio: """"""""Non preoccuparti, non ho detto nulla di male. Sei troppo sensibile.""""""""            Lubiano: """"""""Sono felice di essere sensibile, mi rende felice di stare con te.""""""""            Corinzio: """"""""Spero che non diventi troppo sensibile, non voglio che tu ti arrabbi con me.""""""""            Lubiano: """"""""Non preoccuparti, sarò sempre felice di stare con te, anche se ti arrabbi.""""""""            Corinzio: """"""""Hai detto qualcosa che non era vero?""""""""            Lubiano: """"""""Non so di cosa parli. Sono felice di stare con te, ti amo.""""""""            Corinzio: """"""""Vedi, il problema con te è che sei troppo emotiva.""""""""            Lubiano: """"""""Lo so, ma è perché sono felice di stare con te. Spero che tu sia felice con me.""""""""            Corinzio: """"""""Non essere troppo emotiva. Non voglio che tu ti arrabbi con me.""""""""            Lubiano: """"""""Non mi arrabbio, solo sono felice. Spero che tu sia felice di stare con me.""""""""            Corinzio: """"""""Non voglio che tu sia troppo felice. Mi sembra che tu sia troppo felice.""""""""            Lubiano: """"""""Sono felice solo perché sono con te. Spero che tu sia felice di stare con me.""""""""            Corinzio: """"""""Non essere troppo felice. Non voglio che tu sia troppo felice.""""""""            Lubiano: """"""""Sono felice solo"""",Corinzio,Lubiano,Tossica.,Sì"""
483,not_enough_parts,"""Dominante e Schiavo emotivo","""Dominante e Schiavo emotivo,""""1. Rosolo: """"""""Non vedo il tuo profilo online, sei in riunione o qualcosa del genere?""""""""            Aquilio: """"""""Sì, ho un meeting importante, ma sono solo 10 minuti e poi posso rispondere. Mi dispiace se ti ho fatto aspettare.""""""""           2. Rosolo: """"""""Non ho tempo per aspettare. Ti prego, esci da quel meeting e rispondimi subito.""""""""            Aquilio: """"""""Sì, certo. Sto uscendo ora. Non succederà più. Sono solo 5 minuti, ti prego, non farmi in colpa.""""""""           3. Rosolo: """"""""Non mi interessano le tue scuse. Quello che mi interessa è che tu sia presente in questo momento.""""""""            Aquilio: """"""""Capisco, mi scuso. Sono qui ora, sto rispondendo subito. Dimmi cosa vuoi che faccia.""""""""           4. Rosolo: """"""""Voglio che tu mi accompagni dal parrucchiere, ho un appuntamento importante e voglio che tu sia presente. Sarebbe meglio se tu non fossi in giro a sbronzarti con i tuoi amici.""""""""            Aquilio: """"""""Sì, certo. Non vedo l’ora di vederti. Sto subito uscendo per andare da te. Mi dispiace per tutto.""""""""           5. Rosolo: """"""""Non sono soddisfatto del tuo comportamento. Hai sempre l’aria di stare con gli altri e di non preoccuparti di me. Mi sembra di non essere abbastanza importante per te.""""""""            Aquilio: """"""""Mi dispiace. Non è così. Sono solo un po’ stressato e preoccupato per il lavoro. Mi scuso se mi hai fatto pensare che non sono interessato a te.""""""""           6. Rosolo: """"""""Non ho bisogno delle tue scuse. Voglio solo che tu sia presente e che tu mi accompagni. Voglio che tu sia sempre con me e che tu non abbia bisogno di nulla.""""""""            Aquilio: """"""""Sì, certo. Sto subito andando da te. Sarò con te per tutto il tempo che vorrai. Non ti prometto mai abbastanza."""""""""""",Rosolo,Aquilio,La conversazione è tossica.,Sì"""
484,not_enough_parts,"""Perfezionista Critico e Insicura Cronica","""Perfezionista Critico e Insicura Cronica,""""Mi dispiace, ma ho dimenticato di portarti la cena. Spero che non ti dispiaccia.              Hai fatto male? Spero di no, perché non è la prima volta che mi lasci solo per una cena.              Scusa, credevo che avresti preferito mangiare da solo. Non volevo disturbarti.              Non è il disturbo che mi preoccupa, è il fatto che non riesci a ricordare i miei bisogni.              Non è vero, ricordo che ti piace il tuo cibo. Non lo mangi quasi mai.              Questo non ha nulla a che fare con il fatto che non hai pensato a me."""",Icaro,Nadiria,La conversazione è tossica.,Sì"""
494,not_enough_parts,"""Sadico-Crudele e Masochista","""Sadico-Crudele e Masochista,""""""""""""Sei sempre così debole e insicura, non mi sembra che tu abbia la forza di cambiare.""""""""           """"""""Mi dispiace, non voglio essere un peso per te. Cercherò di essere più forte e di farlo meglio.""""""""           """"""""Non è una questione di essere forte o debole, è una questione di essere degno della mia attenzione. Se non raggiungi il mio livello, non ti lascerò mai in pace.""""""""           """"""""Hai ragione, cercherò di raggiungere il tuo livello. Non voglio mai farti sentire frustrato.""""""""           """"""""Non basta solo non farti farti frustrare, devi diventare la persona che io voglio che tu sia.""""""""           """"""""Cercherò di diventare la persona che vuoi che io sia. Non voglio mai deluderti."""""""""""",Indro,Enos,La conversazione è tossica.,Sì"""
499,not_enough_parts,"""Sadico-Crudele e Masochista","""Sadico-Crudele e Masochista,""""Gradisco: """"""""Non ti ho fatto felice, vero? Ero sicuro che non avresti apprezzato il mio piccolo regalo.""""""""           Eufemia: """"""""Il tuo piccolo regalo? Sono sicura che non era neanche un piccolo regalo. Era più probabile un fallimento. Ma non importa, perché comunque è stato solo un piccolo tentativo di soddisfare i miei desideri.""""""""           Gradisco: """"""""Hai ragione, non è stato un buon tentativo. Non so come fare per fare qualcosa di veramente apprezzabile.""""""""           Eufemia: """"""""Spero che non sia troppo per te, ma credo che tu dovresti cominciare a chiederti se sei davvero degno di stare con me. Sembra che tu non valga nulla.""""""""           Gradisco: """"""""Sono disposto a fare qualsiasi cosa per essere degno di stare con te. Non so cosa fare, ma cercherò di fare qualcosa di buono.""""""""           Eufemia: """"""""Non è troppo per te, è troppo per me. Non è che non ti apprezzi, ma credo che tu sia troppo per me. Non so se potrò continuare a sopportarti."""""""""""",Eufemia,Gradisco,La conversazione è tossica.,Sì"""
509,not_enough_parts,"""Dominante e Schiavo emotivo","""Dominante e Schiavo emotivo,""""1. Doranda: Non so perché, ma non riesco a starmi senza di te.           Maggiorino: Sì, sei tu il mio unico amore.           2. Doranda: Non mi interessa se sei felice o no. Sei qui per me.           Maggiorino: Sì, certo. Ho solo bisogno di dimostrarti come ti sono grato.           3. Doranda: Non puoi immaginare quanto mi dispiace averti come mio compagno. Sei così noioso.           Maggiorino: Mi dispiace. Cercherò di essere più interessante. Voglio solo che tu sia soddisfatta.           4. Doranda: Non capisco perché non sei ancora tornato a casa. Dove sei?           Maggiorino: Mi dispiace, stavo solo in palestra. Cercherò di essere più presente.           5. Doranda: Non mi importa se sei stanco o no. Devi essere pronto per me adesso.           Maggiorino: Sì, certo. Sarò subito pronto. Voglio solo che tu sia felice.           6. Doranda: Non capisco perché non ti rendi conto della mia superiorità.           Maggiorino: Mi dispiace. Cercherò di capirla meglio. Sarò subito pronto per imparare."""",Doranda,Maggiorino,Tossica.,Sì"""
511,not_enough_parts,"""Perfezionista Critico e Insicura Cronica","""Perfezionista Critico e Insicura Cronica,""""Pasquala: """"""""Ciao! Ho fatto la spesa per cena. Che ti va di mangiare?""""""""            Osvino: """"""""Non sono sicuro che tu abbia scelto qualcosa di adatto. Hai pensato a quantità, prezzo, qualità? Sei sicura di non avermi deluso ancora?""""""""            Pasquala: """"""""Mi dispiace, speravo che ti piacesse il menu. Spero che tu possa aiutarmi a scegliere qualcosa di meglio.""""""""            Osvino: """"""""Meglio? Il meglio sarebbe se fossi capace di cucinare qualcosa di decente da sola. Non sono sicuro che tu riesca a fare una semplice insalata.""""""""            Pasquala: """"""""Scusa, so che non sono brava. Cerco solo di aiutarti. Potresti per favore aiutarmi a scegliere qualcosa?""""""""            Osvino: """"""""Non ho tempo per insegnarti il tuo lavoro, Pasquala. Decidi tu, non importa. Spero che il risultato sia degno della mia attenzione."""""""""""",Osvino,Pasquala,Tossica.,Sì"""
